OrderID,Order Date,Product,Category,Region,Price,Quantity,CustomerAge,PaymentMethod,Rating,Revenue
ORD1600,2025-03-18,Usb-C Hub,Accessories,West,19.61,4,37,Credit Card,5.0,78.44
ORD1736,2025-05-03,Bluetooth Speaker,Audio,South,41.89,5,34,Unknown,3.6,209.45
ORD1314,2025-05-14,Wireless Mouse,Accessories,East,15.41,5,22,Debit Card,3.4,77.05
ORD1815,2025-06-12,Bluetooth Speaker,Audio,South,35.62,5,39,Unknown,4.0,178.1
ORD1978,2025-03-06,Noise Cancelling Headphones,Audio,North,97.17,6,42,Upi,4.1,583.02
ORD1009,2025-08-09,Power Bank,Electronics,East,28.27,4,44,Credit Card,4.1,113.08
ORD1134,2025-01-10,Power Bank,Electronics,East,27.67,7,48,Credit Card,3.3,193.69
ORD1777,2025-01-26,Laptop Stand,Office,East,28.59,4,20,Debit Card,4.0,114.36
ORD1409,2025-01-23,Laptop Stand,Office,South,21.9,4,38,Credit Card,4.0,87.6
ORD1412,2025-04-13,Laptop Stand,Office,West,26.58,3,40,Credit Card,4.0,79.74
ORD1459,2025-02-16,Desk Lamp,Office,East,15.29,3,16,Credit Card,3.7,45.87
ORD1509,2025-01-09,Mechanical Keyboard,Accessories,West,74.9,2,38,Upi,3.8,149.8
ORD1054,2025-06-05,Mechanical Keyboard,Accessories,East,66.94,3,40,Upi,4.2,200.82
ORD1801,2025-05-17,Desk Lamp,Office,North,19.66,2,38,COD,3.4,39.32
ORD1713,2025-08-10,Phone Case,Accessories,North,9.88,3,34,Credit Card,2.6,29.64
ORD1542,2025-04-08,Power Bank,Electronics,North,37.79,4,41,Credit Card,5.0,151.16
ORD1767,2025-01-18,Noise Cancelling Headphones,Audio,West,79.35,5,26,Debit Card,3.2,396.75
ORD1146,2025-02-14,Webcam Hd,Electronics,West,31.38,4,38,COD,4.8,125.52
ORD1836,2025-06-26,Webcam Hd,Electronics,West,38.29,3,31,Credit Card,4.0,114.87
ORD1487,2025-04-23,Usb-C Hub,Accessories,South,14.45,4,35,Unknown,3.2,57.8
ORD1873,2025-01-31,Usb-C Hub,Accessories,West,20.57,2,34,Upi,4.2,41.14
ORD1948,2025-03-14,Noise Cancelling Headphones,Audio,North,64.28,2,36,Cash,3.4,128.56
ORD1718,2025-01-26,Wireless Mouse,Accessories,South,16.3,4,32,Upi,3.3,65.2
ORD1034,2025-07-29,Wireless Mouse,Accessories,West,15.39,3,37,Debit Card,4.2,46.17
ORD1171,2025-03-28,Bluetooth Speaker,Audio,East,33.74,6,36,Debit Card,5.0,202.44
ORD1395,2025-04-23,Phone Case,Accessories,North,10.51,4,34,Debit Card,3.9,42.04
ORD1368,2025-06-30,Phone Case,Accessories,West,10.32,5,32,Unknown,5.0,51.6
ORD1361,2025-03-24,Desk Lamp,Office,West,18.11,8,33,Upi,3.0,144.88
ORD1328,2025-01-15,Laptop Stand,Office,East,25.009999999999998,2,32,COD,2.4,50.02
ORD1170,2025-01-19,Power Bank,Electronics,North,27.74,1,36,Unknown,3.9,27.74
ORD1256,2025-07-15,Phone Case,Accessories,West,11.11,1,31,Credit Card,4.3,11.11
ORD1999,2025-08-22,Webcam Hd,Electronics,West,36.29,2,41,Unknown,4.0,72.58
ORD1179,2025-03-18,Mechanical Keyboard,Accessories,West,56.86,1,42,Upi,5.0,56.86
ORD1918,2025-07-20,Desk Lamp,Office,South,21.15,4,26,COD,5.0,84.6
ORD1585,2025-05-19,Wireless Mouse,Accessories,East,9.35,3,36,Cash,5.0,28.05
ORD1164,2025-03-04,Mechanical Keyboard,Accessories,North,57.78,1,27,Cash,4.2,57.78
ORD1849,2025-03-04,Desk Lamp,Office,North,12.4,2,41,Credit Card,5.0,24.8
ORD1956,2025-06-15,Power Bank,Electronics,South,29.13,2,16,Credit Card,5.0,58.26
ORD1325,2025-07-01,Noise Cancelling Headphones,Audio,East,82.82,4,28,Unknown,4.9,331.28
ORD1466,2025-08-14,Wireless Mouse,Accessories,South,17.74,2,28,Unknown,5.0,35.48
ORD1372,2025-02-26,Power Bank,Electronics,South,35.7,6,30,Upi,4.2,214.2
ORD1601,2025-01-08,Phone Case,Accessories,South,11.31,4,34,Credit Card,4.0,45.24
ORD1484,2025-02-03,Mechanical Keyboard,Accessories,North,64.2,4,49,Credit Card,3.2,256.8
ORD1013,2025-05-26,Mechanical Keyboard,Accessories,West,69.38,4,26,Unknown,4.2,277.52
ORD1748,2025-02-06,Bluetooth Speaker,Audio,South,38.95,1,36,Credit Card,3.9,38.95
ORD1316,2025-02-06,Phone Case,Accessories,East,8.39,6,36,Credit Card,5.0,50.34
ORD1455,2025-03-07,Phone Case,Accessories,South,10.72,4,29,Credit Card,3.8,42.88
