OrderID,Order Date,Product,Category,Region,Price,Quantity,CustomerAge,PaymentMethod,Rating
ORD1600,2025-03-18,USB-C Hub,Accessories,West ,19.61,-5.0,37.0,Credit Card,5.0
ORD1736,2025-05-03,Bluetooth Speaker,Audio,south,41.89,5.0,,,3.6
ORD1314,2025-05-14,Wireless Mouse,Accessories,East,15.41,5.0,22.0,Debit Card,3.4
ORD1815,2025-06-12,Bluetooth Speaker,Audio,south,35.62,5.0,39.0,,4.0
ORD1978,06/03/2025,Noise Cancelling Headphones,Audio, North,97.17,6.0,42.0,UPI,4.1
ORD1009,09/08/2025,Power Bank,Electronics,EAST,28.27,4.0,44.0,credit card,
ORD1134,2025-01-10,Power Bank,Electronics,East,27.67,7.0,48.0,credit card,3.3
ORD1777,26/01/2025,Laptop Stand,Office,EAST,28.59,4.0,20.0,Debit Card,
ORD1409,23/01/2025,Laptop Stand,Office,South,21.9,4.0,38.0,credit card,
ORD1412,2025-04-13,Laptop Stand,Office,West,26.58,3.0,40.0,credit card,
,,,,,,,,,
ORD1459,2025-02-16,Desk Lamp,Office,East,15.29,3.0,16.0,credit card,3.7
ORD1509,09/01/2025,Mechanical Keyboard,Accessories,West,74.9,2.0,38.0,UPI,3.8
ORD1054,2025-06-05,MECHANICAL KEYBOARD,Accessories,East,66.94,3.0,40.0,UPI,4.2
ORD1801,2025-05-17,Desk Lamp,Office, North,19.66,2.0,38.0,COD,3.4
ORD1713,10/08/2025,Phone Case,Accessories, North,9.88,3.0,,credit card,2.6
ORD1542,2025-04-08,Power Bank,Electronics,North,37.79,-5.0,41.0,Credit Card,5.0
ORD1767,2025-01-18,Noise Cancelling Headphones,Audio,West,79.35,5.0,26.0,Debit Card,3.2
ORD1146,2025-02-14,Webcam HD,Electronics,West ,31.38,4.0,38.0,COD,4.8
ORD1836,26/06/2025,Webcam HD,Electronics,West,38.29,3.0,31.0,Credit Card,4.0
ORD1487,2025-04-23,USB-C Hub,Accessories,south,14.45,4.0,35.0,,3.2
ORD1873,31/01/2025,USB-C Hub,Accessories,West,20.57,2.0,,UPI,
ORD1948,14/03/2025,Noise Cancelling Headphones,Audio,North,64.28,2.0,36.0,Cash,3.4
ORD1718,2025-01-26,Wireless Mouse,Accessories,south,16.3,4.0,32.0,UPI,3.3
ORD1034,2025-07-29,Wireless Mouse,Accessories,West,15.39,3.0,37.0,Debit Card,
ORD1171,2025-03-28,Bluetooth Speaker,Audio,East,33.74,6.0,36.0,Debit Card,5.0
