CustomerID,SeniorCitizen,TenureMonths,ContractType,InternetService,TechSupport,OnlineSecurity,PaperlessBilling,PaymentMethod,NumSupportCalls,MonthlyCharges,TotalCharges,Churn
CUST2000,0,52,Two Year,Fiber Optic,Yes,No,Yes,Bank Transfer,3,77.06,3689.7,0
CUST2001,0,15,Month-to-Month,DSL,No,No,No,Electronic Check,1,54.5,803.23,0
CUST2002,0,61,Month-to-Month,Fiber Optic,No,No,Yes,Credit Card,1,93.28,6217.76,0
CUST2003,0,21,One Year,DSL,No,No,No,Mailed Check,0,58.13,1196.39,1
CUST2004,0,24,One Year,No Internet,No,Yes,Yes,Bank Transfer,4,99.61,2325.52,0
CUST2005,0,3,One Year,DSL,No,Yes,Yes,Bank Transfer,0,83.94,262.07,0
CUST2006,0,22,Two Year,Fiber Optic,No,No,Yes,Electronic Check,2,65.71,1352.73,0
CUST2007,0,53,One Year,DSL,Yes,No,Yes,Credit Card,0,104.51,5387.62,0
CUST2008,0,2,One Year,Fiber Optic,No,No,Yes,Electronic Check,3,88.81,170.21,1
CUST2009,0,30,Two Year,No Internet,No,No,No,Bank Transfer,7,138.66,4244.27,1
CUST2010,0,38,One Year,Fiber Optic,Yes,No,Yes,Electronic Check,2,54.76,1940.53,0
CUST2011,0,2,Month-to-Month,No Internet,No,No,No,Credit Card,3,66.92,135.14,1
CUST2012,1,64,Two Year,DSL,Yes,No,Yes,Mailed Check,2,104.22,7147.05,0
CUST2013,0,60,Month-to-Month,Fiber Optic,No,No,Yes,Bank Transfer,0,26.41,1589.09,0
CUST2014,0,21,One Year,No Internet,No,No,Yes,Credit Card,1,97.92,2131.79,0
CUST2015,0,33,Two Year,DSL,No,No,No,Electronic Check,0,75.98,2294.34,0
CUST2016,1,58,One Year,No Internet,No,No,Yes,Bank Transfer,1,42.79,2456.51,0
CUST2017,1,22,One Year,DSL,No,Yes,Yes,Electronic Check,1,30.92,625.13,0
CUST2018,0,49,One Year,DSL,No,No,No,Electronic Check,0,48.19,2408.28,0
CUST2019,0,59,Month-to-Month,No Internet,No,Yes,Yes,Mailed Check,3,15.0,846.25,0
CUST2020,0,42,Two Year,DSL,No,No,No,Electronic Check,1,52.76,2121.64,0
CUST2021,1,60,Month-to-Month,No Internet,No,No,Yes,Electronic Check,3,80.56,4424.45,0
CUST2022,0,15,Month-to-Month,No Internet,No,No,No,Credit Card,3,53.09,766.13,1
CUST2023,0,62,Month-to-Month,DSL,No,No,Yes,Electronic Check,1,99.71,6190.28,0
CUST2024,0,62,Month-to-Month,Fiber Optic,No,No,No,Mailed Check,3,106.5,6714.8,1
CUST2025,0,47,Month-to-Month,DSL,No,No,Yes,Electronic Check,2,96.89,4159.16,0
CUST2026,1,62,Two Year,Fiber Optic,No,Yes,Yes,Electronic Check,2,70.77,4520.65,0
CUST2027,1,51,Month-to-Month,DSL,Yes,No,Yes,Electronic Check,2,15.0,763.3,0
CUST2028,0,55,Month-to-Month,DSL,No,Yes,Yes,Bank Transfer,2,47.41,2626.8,0
CUST2029,0,64,Month-to-Month,Fiber Optic,No,Yes,No,Mailed Check,2,61.45,4194.56,0
CUST2030,0,3,Month-to-Month,Fiber Optic,Yes,No,Yes,Bank Transfer,3,42.65,123.91,0
CUST2031,0,51,One Year,No Internet,Yes,No,Yes,Mailed Check,1,61.51,2932.51,0
CUST2032,0,7,Month-to-Month,No Internet,No,No,Yes,Mailed Check,2,105.25,744.38,0
CUST2033,0,21,Month-to-Month,Fiber Optic,Yes,No,Yes,Credit Card,2,23.86,545.66,0
