,count,unique,top,freq,mean,std,min,25%,50%,75%,max
StudentID,1200,1200,STU3000,1,,,,,,,
Gender,1200,2,Male,601,,,,,,,
ParentalEducation,1200,4,High School,429,,,,,,,
LunchType,1200,2,Standard,768,,,,,,,
TestPrepCourse,1200,2,Not Completed,703,,,,,,,
StudyHoursWeekly,1200.0,,,,8.95125,5.1967332817358685,0.5,5.3,7.95,11.7,36.7
AttendanceRate,1200.0,,,,79.58866666666667,12.088910470034756,29.7,72.4,81.5,88.8,99.8
ExtracurricularActivity,1200,2,No,636,,,,,,,
SleepHours,1200.0,,,,6.979333333333334,1.1845571050684705,4.0,6.2,7.0,7.8,10.0
MathScore,1200.0,,,,80.79116666666665,11.75791204758117,40.0,72.8,81.0,89.4,100.0
ReadingScore,1200.0,,,,82.55816666666665,11.519623173985092,42.4,74.85000000000001,82.55,91.3,100.0
WritingScore,1200.0,,,,79.93191666666667,11.794947660685944,41.9,72.07499999999999,79.9,88.6,100.0
AverageScore,1200.0,,,,81.09325,11.00451174912047,46.1,73.2,81.25,89.225,100.0
