StudentID,Gender,ParentalEducation,LunchType,TestPrepCourse,StudyHoursWeekly,AttendanceRate,ExtracurricularActivity,SleepHours,MathScore,ReadingScore,WritingScore,AverageScore
STU3000,Male,High School,Free/Reduced,Not Completed,6.4,98.0,No,6.4,66.2,70.5,62.2,66.3
STU3001,Female,High School,Free/Reduced,Not Completed,10.2,85.6,Yes,5.5,53.7,52.7,58.9,55.1
STU3002,Male,High School,Standard,Completed,7.7,86.7,Yes,6.5,81.2,70.7,72.5,74.8
STU3003,Male,High School,Standard,Not Completed,4.1,81.4,Yes,7.7,54.2,58.5,56.9,56.5
STU3004,Male,High School,Standard,Not Completed,9.0,92.2,No,5.3,83.7,92.3,93.5,89.8
STU3005,Female,Associate's Degree,Free/Reduced,Not Completed,4.3,86.2,No,6.6,55.2,61.4,58.0,58.2
STU3006,Male,High School,Free/Reduced,Not Completed,14.7,80.8,No,9.3,100.0,100.0,100.0,100.0
STU3007,Male,Associate's Degree,Standard,Completed,10.6,88.2,Yes,6.8,73.8,99.2,96.3,89.8
STU3008,Male,Associate's Degree,Standard,Not Completed,3.8,82.6,Yes,8.2,64.6,77.9,68.4,70.3
STU3009,Female,Bachelor's Degree,Standard,Completed,12.8,97.2,Yes,7.7,94.8,100.0,87.1,94.0
STU3010,Male,High School,Free/Reduced,Not Completed,18.6,87.3,Yes,6.6,87.9,84.3,86.1,86.1
STU3011,Male,Bachelor's Degree,Free/Reduced,Completed,11.2,79.9,No,6.8,81.9,74.3,70.4,75.5
STU3012,Male,Associate's Degree,Standard,Completed,3.0,88.0,No,7.2,82.1,84.8,84.0,83.6
STU3013,Male,High School,Standard,Completed,7.3,73.4,No,4.5,82.6,93.1,83.6,86.4
STU3014,Female,Bachelor's Degree,Standard,Not Completed,12.0,77.7,No,8.1,100.0,93.5,95.5,96.3
STU3015,Male,Master's Degree,Free/Reduced,Completed,6.9,91.6,Yes,6.9,86.7,97.1,95.5,93.1
STU3016,Female,High School,Standard,Not Completed,4.0,88.4,Yes,8.2,74.5,75.5,69.8,73.3
STU3017,Female,High School,Free/Reduced,Not Completed,15.7,80.8,No,7.5,94.1,91.2,94.3,93.2
STU3018,Female,Bachelor's Degree,Standard,Completed,6.7,64.8,Yes,6.8,98.3,97.9,84.2,93.5
STU3019,Male,Bachelor's Degree,Standard,Not Completed,18.6,84.9,Yes,7.2,100.0,99.3,98.3,99.2
STU3020,Female,High School,Standard,Completed,5.7,80.3,Yes,7.2,91.8,90.5,81.9,88.1
STU3021,Male,High School,Standard,Not Completed,6.4,73.2,Yes,8.8,92.3,90.8,84.3,89.1
STU3022,Female,Associate's Degree,Standard,Not Completed,5.4,95.6,Yes,7.1,75.2,74.9,71.2,73.8
STU3023,Female,Associate's Degree,Free/Reduced,Completed,7.2,61.3,No,7.3,70.0,78.1,76.7,74.9
STU3024,Female,Associate's Degree,Standard,Completed,10.5,73.2,No,5.5,81.5,80.7,79.9,80.7
STU3025,Female,Associate's Degree,Standard,Completed,4.1,94.8,Yes,6.9,72.8,70.7,72.9,72.1
STU3026,Female,Associate's Degree,Standard,Not Completed,3.6,72.5,Yes,8.7,74.8,79.6,80.1,78.2
STU3027,Female,Bachelor's Degree,Free/Reduced,Not Completed,2.3,68.2,No,7.5,59.4,47.7,51.0,52.7
STU3028,Female,High School,Free/Reduced,Not Completed,2.0,74.0,Yes,5.7,71.2,67.7,60.9,66.6
STU3029,Female,High School,Standard,Not Completed,3.0,92.5,Yes,5.8,68.4,70.6,52.6,63.9
STU3030,Male,Bachelor's Degree,Free/Reduced,Completed,5.7,84.6,Yes,6.1,83.9,94.2,93.1,90.4
STU3031,Male,Bachelor's Degree,Standard,Not Completed,8.9,75.6,Yes,8.2,62.6,62.1,66.4,63.7
STU3032,Female,Associate's Degree,Standard,Not Completed,10.1,80.9,No,8.1,75.6,82.0,82.7,80.1
STU3033,Female,Associate's Degree,Free/Reduced,Completed,8.7,92.7,No,4.0,67.3,75.6,64.7,69.2
STU3034,Female,High School,Free/Reduced,Completed,17.4,71.5,Yes,6.9,100.0,100.0,100.0,100.0
STU3035,Male,Associate's Degree,Free/Reduced,Completed,20.5,72.3,Yes,7.2,100.0,100.0,100.0,100.0
STU3036,Female,Associate's Degree,Standard,Not Completed,6.7,86.9,Yes,5.8,56.7,55.9,58.0,56.9
