ApplicantID,Age,AnnualIncome,EmploymentType,CreditScore,LoanAmount,LoanTermMonths,NumExistingLoans,HomeOwnership,MaritalStatus,LoanPurpose,DebtToIncomeRatio,LoanDefault
LN5000,59,93421.64,Salaried,642.0,12767.96,60,0,Mortgage,Single,Business,0.125,0
LN5001,49,43014.82,Salaried,793.0,24356.64,24,1,Rent,Single,Education,0.494,0
LN5002,35,52065.09,Salaried,687.0,15275.13,48,1,Mortgage,Married,Medical,0.327,0
LN5003,63,29309.38,Self-Employed,563.0,24102.94,48,0,Mortgage,Divorced,Medical,0.843,1
LN5004,28,25873.87,Business Owner,662.0,24846.35,12,2,Mortgage,Married,Medical,0.849,0
LN5005,41,21549.97,Business Owner,639.0,19057.62,48,3,Mortgage,Married,Debt Consolidation,0.852,1
LN5006,59,31489.78,Salaried,552.0,7055.79,48,2,Rent,Single,Other,0.213,1
LN5007,39,106540.55,Salaried,682.0,36194.28,12,3,Own,Married,Medical,0.29,0
LN5008,43,22553.3,Salaried,652.0,31176.77,12,3,Mortgage,Married,Home Improvement,1.48,1
LN5009,31,42118.06,Salaried,700.0,13878.89,12,0,Rent,Married,Business,0.389,0
LN5010,31,25678.96,Salaried,667.0,5830.97,24,2,Rent,Single,Other,0.247,1
LN5011,44,36297.82,Self-Employed,591.0,5238.03,36,0,Rent,Divorced,Education,0.175,0
LN5012,56,53361.61,Salaried,719.0,15562.03,36,2,Mortgage,Married,Business,0.252,1
LN5013,60,34542.37,Salaried,594.0,8768.75,24,1,Rent,Married,Home Improvement,0.258,0
LN5014,44,84527.52,Salaried,646.0,4768.02,60,1,Mortgage,Single,Home Improvement,0.062,1
LN5015,23,105555.17,Self-Employed,662.0,5179.07,24,0,Mortgage,Single,Other,0.056,0
LN5016,42,15921.92,Salaried,600.0,10077.0,12,2,Rent,Divorced,Business,0.726,1
LN5017,22,34839.39,Self-Employed,684.0,15017.29,24,0,Rent,Single,Debt Consolidation,0.502,0
LN5018,44,50492.04,Salaried,830.0,31052.29,36,1,Rent,Married,Home Improvement,0.692,0
LN5019,64,86082.25,Business Owner,832.0,17863.82,36,0,Own,Married,Medical,0.176,0
LN5020,50,39060.92,Business Owner,635.0,10627.04,24,1,Rent,Married,Education,0.312,0
LN5021,58,48534.6,Salaried,576.0,16780.45,12,3,Rent,Single,Education,0.402,0
LN5022,22,27491.38,Salaried,703.0,15904.23,48,2,Mortgage,Single,Home Improvement,0.75,0
LN5023,41,22779.18,Salaried,617.0,20821.2,60,0,Mortgage,Divorced,Medical,1.048,1
LN5024,53,100981.47,Salaried,685.0,13043.36,24,1,Rent,Married,Business,0.148,0
LN5025,32,19691.95,Self-Employed,591.0,24877.49,24,1,Mortgage,Single,Education,1.336,1
LN5026,42,157048.43,Business Owner,673.0,21909.4,36,1,Rent,Single,Medical,0.172,0
LN5027,64,70444.17,Self-Employed,577.0,14039.36,48,2,Mortgage,Divorced,Medical,0.259,0
LN5028,45,68870.73,Business Owner,757.0,12437.43,24,1,Rent,Single,Debt Consolidation,0.215,0
LN5029,47,65364.48,Salaried,597.0,23198.64,60,0,Rent,Married,Home Improvement,0.393,0
LN5030,62,43202.65,Salaried,709.0,8707.29,36,1,Mortgage,Married,Medical,0.169,0
LN5031,48,59637.64,Self-Employed,536.0,5410.15,36,0,Rent,Divorced,Business,0.106,1
LN5032,36,44602.79,Salaried,720.0,5391.73,36,0,Mortgage,Married,Education,0.14,0
LN5033,35,64636.64,Self-Employed,563.0,8284.78,60,2,Mortgage,Married,Debt Consolidation,0.152,0
LN5034,64,48202.05,Salaried,674.0,19846.67,48,1,Own,Single,Business,0.355,0
LN5035,23,30480.0,Salaried,742.0,10366.35,12,1,Mortgage,Divorced,Education,0.383,0
LN5036,57,31720.35,Unemployed,632.0,15103.92,24,3,Rent,Married,Home Improvement,0.451,0
LN5037,27,29967.35,Salaried,557.0,9925.1,36,1,Rent,Divorced,Business,0.391,0
LN5038,41,79654.23,Unemployed,695.0,9972.49,24,1,Mortgage,Married,Education,0.115,0
LN5039,29,36000.09,Unemployed,574.0,7220.81,48,1,Mortgage,Married,Debt Consolidation,0.229,1
LN5040,59,18843.97,Business Owner,614.0,12643.05,48,0,Own,Single,Education,0.636,0
LN5041,38,59779.58,Self-Employed,674.0,12026.91,48,3,Rent,Married,Medical,0.162,0
LN5042,24,104533.07,Self-Employed,772.0,17113.09,60,1,Rent,Single,Debt Consolidation,0.183,0
LN5043,45,72152.82,Business Owner,652.0,15876.87,24,0,Rent,Single,Business,0.188,0
LN5044,34,36255.2,Salaried,652.0,11869.31,48,0,Rent,Single,Other,0.37,0
